;Pais;Fecha;Casos_media_7_dias;Muertes_media_7_dias;Porcentaje_vacunacion;Poblacion
9273;Hungary;2021-05-11;1148.857142857143;106.71428571428571;26.262242632000582;9634162.0
9274;Hungary;2021-05-12;1116.7142857142858;102.14285714285714;26.830346012450278;9634162.0
9275;Hungary;2021-05-13;1079.0;96.14285714285714;27.266066316925127;9634162.0
9276;Hungary;2021-05-14;1028.857142857143;91.14285714285714;27.57552758610453;9634162.0
9277;Hungary;2021-05-15;980.7142857142857;87.14285714285714;28.04384024266978;9634162.0
9278;Hungary;2021-05-16;919.7142857142857;81.85714285714286;28.307236270264085;9634162.0
9279;Hungary;2021-05-17;883.8571428571429;74.28571428571429;28.53631691059378;9634162.0
9280;Hungary;2021-05-18;868.0;69.28571428571429;28.797688890844892;9634162.0
9281;Hungary;2021-05-19;829.1428571428571;63.0;29.216915804405197;9634162.0
9282;Hungary;2021-05-20;738.2857142857143;58.57142857142857;29.958931560420098;9634162.0
9283;Hungary;2021-05-21;662.1428571428571;55.142857142857146;30.80029171193094;9634162.0
9284;Hungary;2021-05-22;606.1428571428571;51.57142857142857;31.149455448226842;9634162.0
9285;Hungary;2021-05-23;563.0;49.142857142857146;31.26877044417563;9634162.0
9286;Hungary;2021-05-24;539.0;49.57142857142857;31.896287398945546;9634162.0
9287;Hungary;2021-05-25;507.85714285714283;43.42857142857143;33.17988632534931;9634162.0
9288;Hungary;2021-05-26;447.85714285714283;41.857142857142854;34.54422917115158;9634162.0
9289;Hungary;2021-05-27;393.0;39.142857142857146;35.76395123935014;9634162.0
9290;Hungary;2021-05-28;363.14285714285717;36.42857142857143;36.74287395208841;9634162.0
9291;Hungary;2021-05-29;337.14285714285717;33.42857142857143;37.18587044726879;9634162.0
9292;Hungary;2021-05-30;327.7142857142857;29.857142857142858;37.48836691764162;9634162.0
9293;Hungary;2021-05-31;313.14285714285717;24.714285714285715;37.94462870771739;9634162.0
9294;Hungary;2021-06-01;314.57142857142856;25.714285714285715;38.34897108850775;9634162.0
9295;Hungary;2021-06-02;323.42857142857144;21.714285714285715;38.739767921693655;9634162.0
9296;Hungary;2021-06-03;311.85714285714283;19.714285714285715;39.59030375449365;9634162.0
9297;Hungary;2021-06-04;286.2857142857143;19.428571428571427;39.59030375449365;9634162.0
9298;Hungary;2021-06-05;262.7142857142857;19.0;41.410192189004086;9634162.0
9299;Hungary;2021-06-06;232.28571428571428;18.0;41.46281741992713;9634162.0
9300;Hungary;2021-06-07;221.57142857142858;19.0;41.79975383432415;9634162.0
9301;Hungary;2021-06-08;213.42857142857142;17.428571428571427;42.28203760742242;9634162.0
9302;Hungary;2021-06-09;199.71428571428572;16.428571428571427;42.69054225992878;9634162.0
9303;Hungary;2021-06-10;184.14285714285714;14.857142857142858;43.155606061014964;9634162.0
9304;Hungary;2021-06-11;174.14285714285714;12.285714285714286;43.155606061014964;9634162.0
9305;Hungary;2021-06-12;131.28571428571428;8.857142857142858;43.155606061014964;9634162.0
9306;Hungary;2021-06-13;111.71428571428571;7.142857142857143;43.684328745977076;9634162.0
9307;Hungary;2021-06-14;136.57142857142858;8.428571428571429;44.01279530072257;9634162.0
9308;Hungary;2021-06-15;128.0;7.428571428571429;44.342102613595245;9634162.0
9309;Hungary;2021-06-16;117.71428571428571;7.857142857142857;44.62321684023997;9634162.0
9310;Hungary;2021-06-17;104.42857142857143;7.428571428571429;45.258871503302515;9634162.0
9311;Hungary;2021-06-18;91.14285714285714;6.571428571428571;45.258871503302515;9634162.0
9312;Hungary;2021-06-19;91.14285714285714;6.571428571428571;45.258871503302515;9634162.0
9313;Hungary;2021-06-20;91.14285714285714;6.571428571428571;46.61654018273722;9634162.0
9314;Hungary;2021-06-21;83.57142857142857;4.857142857142857;47.279971003186375;9634162.0
9315;Hungary;2021-06-22;83.14285714285714;4.0;47.95307573196298;9634162.0
9316;Hungary;2021-06-23;80.85714285714286;3.857142857142857;48.346457117910205;9634162.0
9317;Hungary;2021-06-24;74.57142857142857;3.4285714285714284;49.08216199810632;9634162.0
9318;Hungary;2021-06-25;68.85714285714286;4.285714285714286;49.08216199810632;9634162.0
9319;Hungary;2021-06-26;68.85714285714286;4.285714285714286;49.08216199810632;9634162.0
9320;Hungary;2021-06-27;68.85714285714286;4.285714285714286;50.26018869103509;9634162.0
9321;Hungary;2021-06-28;58.857142857142854;4.285714285714286;50.59159270936071;9634162.0
9322;Hungary;2021-06-29;56.0;4.0;51.03637451809509;9634162.0
9323;Hungary;2021-06-30;50.42857142857143;3.0;51.03637451809509;9634162.0
9324;Hungary;2021-07-01;45.142857142857146;2.857142857142857;51.03637451809509;9634162.0
9325;Hungary;2021-07-02;41.0;1.7142857142857142;51.03637451809509;9634162.0
9326;Hungary;2021-07-03;41.0;1.7142857142857142;51.03637451809509;9634162.0
9327;Hungary;2021-07-04;41.0;1.7142857142857142;52.50922706095247;9634162.0
9328;Hungary;2021-07-05;31.428571428571427;1.0;52.64623949649175;9634162.0
9329;Hungary;2021-07-06;31.142857142857142;1.0;52.64623949649175;9634162.0
9330;Hungary;2021-07-07;30.0;1.0;53.20992111197632;9634162.0
9331;Hungary;2021-07-08;33.285714285714285;1.7142857142857142;53.20992111197632;9634162.0
9332;Hungary;2021-07-09;34.285714285714285;1.7142857142857142;53.20992111197632;9634162.0
9333;Hungary;2021-07-10;34.285714285714285;1.7142857142857142;53.20992111197632;9634162.0
9334;Hungary;2021-07-11;34.285714285714285;1.7142857142857142;53.72032357355005;9634162.0
9335;Hungary;2021-07-12;39.57142857142857;1.5714285714285714;54.00495652865294;9634162.0
9336;Hungary;2021-07-13;37.42857142857143;1.7142857142857142;54.252160177501686;9634162.0
9337;Hungary;2021-07-14;39.142857142857146;2.0;54.252160177501686;9634162.0
9338;Hungary;2021-07-15;38.285714285714285;1.2857142857142858;54.68886655632321;9634162.0
9339;Hungary;2021-07-16;41.142857142857146;1.5714285714285714;54.68886655632321;9634162.0
9340;Hungary;2021-07-17;41.142857142857146;1.5714285714285714;54.68886655632321;9634162.0
9341;Hungary;2021-07-18;41.142857142857146;1.5714285714285714;54.94128082961445;9634162.0
9342;Hungary;2021-07-19;46.42857142857143;1.4285714285714286;55.13252735422136;9634162.0
9343;Hungary;2021-07-20;47.57142857142857;1.2857142857142858;55.29619493631102;9634162.0
9344;Hungary;2021-07-21;47.57142857142857;0.8571428571428571;55.29619493631102;9634162.0
9345;Hungary;2021-07-22;50.714285714285715;1.0;55.29619493631102;9634162.0
